"","Year","Farmland.Birds","Woodland.Birds","Water.And.Wetland.Birds","Wintering.Water.Birds"
"1",1976,108.9,102.4,102.4,96.3
"2",1977,111.6,107.3,107.7,97.3
"3",1978,103.8,99,94.9,105
"4",1979,97.8,91.9,93.6,103.5
"5",1980,97.1,101.7,99.4,112.4
"6",1981,93.2,103.1,97.8,114.8
"7",1982,82.1,92.9,89.5,124.2
"8",1983,81.3,99.3,97,128.3
"9",1984,80.5,98.2,96.9,141.3
"10",1985,74.2,97.1,94.8,147.4
"11",1986,68.6,87.3,89.1,153.4
"12",1987,65.1,88.6,93.9,164.3
"13",1988,65.4,93.9,99.9,178.5
"14",1989,67.7,96.9,102.7,176.3
"15",1990,69,90.9,104.4,191
"16",1991,65,83.2,90,188.8
"17",1992,61.5,79.9,92.3,186.5
"18",1993,57.6,81.4,89.8,193.2
"19",1994,58.8,81.9,89.7,205
"20",1995,60.9,76.4,105.4,212.8
"21",1996,59.8,81.9,97.8,215.2
"22",1997,58.5,84.1,91.9,215.3
"23",1998,55,80.6,92.8,203.4
"24",1999,54.9,79.8,93.1,210.9
"25",2000,57.2,80.8,99.9,206
"26",2001,56.9,78.9,100,216
"27",2002,56.5,76.6,100,207.3
"28",2003,56.9,78.7,99.7,204
"29",2004,56.5,76.5,97.3,203
"30",2005,55.8,80.7,93.9,211.1
"31",2006,55.1,76.5,98.3,200.1
"32",2007,51.8,80.1,94.4,202.9
"33",2008,52.9,82.1,99.6,205.3
"34",2009,51.3,71.8,90.3,201.6
"35",2010,49.7,80.5,95.3,204.7
"36",2011,49.5,82.8,84.5,194.9
"37",2012,50,83.8,83.8,187.8
"38",2013,44.9,72.1,82.6,184.8
